s10100, 2730978.2, 0.0, 0.0, 0.0, 18969170.0, 0.0, 2263526.2, 0.0, 11007128.0, 12250200.0, 0.0, 6786053.0, 21031228.0, 0.0, 3797064.5, 0.0, 44446332.0, 0.0, 5752198.0
s10200, 344495.6, 0.0, 0.0, 0.0, 8805037.0, 0.0, 1354996.1, 0.0, 6609737.5, 5861663.0, 0.0, 3965931.2, 4331727.0, 0.0, 1495537.0, 0.0, 19337290.0, 0.0, 3491402.0
s10214, 7150892.0, 0.0, 0.0, 0.0, 2736916.2, 0.0, 129596.46, 0.0, 641272.2, 1187641.5, 0.0, 481844.75, 21239704.0, 0.0, 730661.06, 0.0, 5367742.5, 0.0, 340664.56
s10226, 9251264.0, 0.0, 0.0, 0.0, 12402335.0, 0.0, 756952.6, 0.0, 3710488.8, 5518777.0, 0.0, 2397488.8, 35316748.0, 0.0, 3043975.5, 0.0, 37625976.0, 0.0, 1922853.8
s10240, 427941.9, 0.0, 0.0, 0.0, 2988180.5, 0.0, 376563.94, 0.0, 1803789.5, 1936060.5, 0.0, 940133.5, 4614383.5, 0.0, 434661.0, 0.0, 5768852.5, 0.0, 869297.2
s10300, 10389237.0, 0.0, 0.0, 0.0, 35302412.0, 0.0, 3332256.8, 0.0, 16068009.0, 20699794.0, 0.0, 10210304.0, 47164840.0, 0.0, 7454370.5, 0.0, 64677340.0, 0.0, 8443305.0
s10400, 1915060.5, 0.0, 0.0, 0.0, 24178746.0, 0.0, 2088972.4, 0.0, 10210750.0, 13737628.0, 0.0, 6890404.5, 30222750.0, 0.0, 6345758.5, 0.0, 74531750.0, 0.0, 5373010.0
s10410, 54641.71, 0.0, 0.0, 0.0, 303828.16, 0.0, 12393.221, 0.0, 63570.105, 128295.8, 0.0, 52342.12, 557062.56, 0.0, 61083.715, 0.0, 845502.0, 0.0, 32468.34
s10426, 12469005.0, 0.0, 0.0, 0.0, 6247118.0, 0.0, 309915.2, 0.0, 1437532.1, 2794004.5, 0.0, 1325783.4, 78738050.0, 0.0, 1887857.1, 0.0, 31261366.0, 0.0, 1035274.0
s10500, 123119.1, 0.0, 0.0, 0.0, 3054063.8, 0.0, 286681.34, 0.0, 1472590.5, 1962232.6, 0.0, 889520.3, 1360523.6, 0.0, 867227.06, 0.0, 3965463.0, 0.0, 692524.4
