s30923, 0.0, 0.0, 0.0, 482830.78, 405831.78, 364829.06, 60257.62, 807.7298, 188117.44, 70298.99, 301906.06, 705612.44, 813713.3, 699587.44, 392718.9, 398032.66, 3090998.8, 3184277.5, 417543.25
s31000, 11829992.0, 12309614.0, 20095432.0, 8167932.0, 24174856.0, 10524713.0, 1524446.8, 20972.605, 1576494.8, 178738.45, 10417230.0, 29529140.0, 25423502.0, 25259488.0, 11363448.0, 14016227.0, 23957374.0, 27648936.0, 148906.38
s31023, 35201.055, 62694.85, 49218.62, 44115.37, 233281.2, 56141.848, 13714.681, 0.0, 15327.204, 0.0, 104146.05, 0.0, 0.0, 0.0, 164327.92, 164327.92, 17591.309, 17591.309, 633.4916
s31046, 259611.73, 365287.5, 519223.47, 116276.125, 179929.97, 88182.36, 10578.144, 248.69847, 11821.885, 2.3487367e-07, 70459.84, 529211.8, 339302.16, 124697.266, 171890.08, 171890.08, 116000.68, 116000.68, 488.93628
s41100, 7296292.5, 14876650.0, 13881174.0, 10752831.0, 7396162.5, 5456885.0, 3614224.2, 3397514.5, 3025461.0, 11533591.0, 12597143.0, 6003695.0, 38836576.0, 24960114.0, 4430983.5, 6349860.0, 52349630.0, 56071612.0, 16833016.0
s41200, 875439.5, 1339906.9, 1365186.4, 1071619.4, 527239.3, 331949.22, 273567.03, 192917.14, 243571.47, 1246424.8, 1509680.8, 599845.2, 4428656.0, 3135604.5, 427122.94, 657853.3, 4780186.0, 4799571.5, 1188253.0
s41300, 3037616.5, 6758265.0, 5634101.5, 4613917.0, 1781381.9, 1918184.5, 843712.94, 1193965.8, 798569.5, 4091919.5, 4824807.0, 2217435.8, 17989400.0, 12204436.0, 1917278.5, 2475700.2, 20657120.0, 18910480.0, 3478836.5
s41400, 2900642.0, 4969817.0, 5531526.5, 6599123.0, 6709624.5, 4504105.0, 2943084.5, 2865136.0, 2174512.8, 8330695.0, 9573963.0, 4257082.5, 35570668.0, 26131252.0, 3404179.2, 4663581.0, 33562264.0, 35845970.0, 15040614.0
s41403, 5912.972, 0.0, 11825.944, 18697.46, 100983.89, 19610.969, 25408.162, 8816.429, 7277.7, 4350.1787, 13935.8, 59160.41, 24399.09, 24399.09, 0.0, 91589.97, 6789.595, 30688.918, 48874.125
s41408, 653809.7, 1679121.4, 1282391.1, 1422720.8, 388346.28, 459085.16, 216888.0, 269606.3, 209174.6, 1399685.1, 2163032.5, 599355.4, 8506911.0, 5415539.5, 529944.56, 584443.3, 6420307.0, 5883851.5, 904368.06
s41422, 1442705.0, 3779097.2, 2850744.2, 2750291.5, 441134.0, 627476.0, 218706.33, 367245.88, 206687.84, 1270791.5, 3669505.5, 561447.3, 14265019.0, 4771592.0, 576464.25, 627489.44, 4285790.5, 4614141.5, 856567.5
s41436, 439666.06, 888096.2, 824196.6, 1130435.6, 625318.56, 483442.1, 346625.8, 290881.9, 322997.25, 1643901.4, 1850300.4, 747341.56, 6289342.5, 4879019.0, 603292.1, 777504.5, 7592632.5, 9327730.0, 1456221.4
